Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_post_proba,p_ST,p_NON_ST,hybrid_flag,prob_gap
Gabriel Jesus,arsenal,FW,608,608,True,NON_ST,0.99181485566484,0.008185144335160039,0.99181485566484,False,0.9836297113296799
Leandro Trossard,arsenal,FW,2546,2546,False,NON_ST,1.0,1.8058399330277618e-47,1.0,False,1.0
Nathan Butler-Oyedeji,arsenal,FW,7,7,True,ST,1.0,1.0,6.826153905574556e-18,False,1.0
Reiss Nelson,arsenal,FW,3,3,True,ST,0.9999708467563911,0.9999708467563911,2.9153243608934064e-05,False,0.9999416935127822
Donyell Malen,aston villa,FW,305,305,True,NON_ST,1.0,3.167309074253223e-20,1.0,False,1.0
Jáder Durán,aston villa,FW,638,638,True,ST,0.9999999971500044,0.9999999971500044,2.849995484613629e-09,False,0.999999994300009
Marcus Rashford,aston villa,FW,444,444,True,NON_ST,1.0,8.992765619427644e-210,1.0,False,1.0
Ollie Watkins,aston villa,FW,2598,2598,False,ST,0.9999999969221925,0.9999999969221925,3.077807513638032e-09,False,0.999999993844385
Antoine Semenyo,bournemouth,FW,3203,3203,False,NON_ST,0.9999999999999947,5.415987084461023e-15,0.9999999999999947,False,0.9999999999999892
Dango Ouattara,bournemouth,FW,2005,2005,False,NON_ST,1.0,6.770653497005794e-78,1.0,False,1.0
Daniel Jebbison,bournemouth,FW,119,119,True,NON_ST,1.0,9.050186387710782e-37,1.0,False,1.0
Evanilson,bournemouth,FW,2319,2319,False,ST,0.9999999960116936,0.9999999960116936,3.988306443677797e-09,False,0.9999999920233872
Remy Rees-Dottin,bournemouth,FW,1,1,True,ST,0.9999708467563911,0.9999708467563911,2.9153243608934064e-05,False,0.9999416935127822
Zain Silcott-Duberry,bournemouth,FW,1,1,True,ST,0.9999176253262726,0.9999176253262726,8.237467372728657e-05,False,0.9998352506525453
Bryan Mbeumo,brentford,FW,3414,3414,False,NON_ST,1.0,1.557380319636143e-153,1.0,False,1.0
Kevin Schade,brentford,FW,2293,2293,False,NON_ST,0.9999986755657148,1.3244342851704545e-06,0.9999986755657148,False,0.9999973511314296
Yoane Wissa,brentford,FW,2919,2919,False,ST,0.9999999930017418,0.9999999930017418,6.998258240711921e-09,False,0.9999999860034836
Danny Welbeck,brighton,FW,2115,2115,False,ST,0.9999997748861919,0.9999997748861919,2.251138080624494e-07,False,0.9999995497723838
Evan Ferguson,brighton,FW,246,246,True,ST,0.9998428091186424,0.9998428091186424,0.0001571908813575906,False,0.9996856182372849
Harry Howell,brighton,FW,7,7,True,NON_ST,1.0,0.0,1.0,False,1.0
Christopher Nkunku,chelsea,FW,921,921,False,ST,0.9688050596828585,0.9688050596828585,0.031194940317141442,False,0.937610119365717
Jadon Sancho,chelsea,FW,1764,1764,False,NON_ST,1.0,7.034119594437133e-21,1.0,False,1.0
Marc Guiu,chelsea,FW,73,73,True,ST,0.6179313161437202,0.6179313161437202,0.3820686838562799,False,0.2358626322874403
Mykhailo Mudryk,chelsea,FW,151,151,True,NON_ST,1.0,2.0221054845861575e-100,1.0,False,1.0
Nicolas Jackson,chelsea,FW,2220,2220,False,ST,0.9999992335210365,0.9999992335210365,7.664789636128203e-07,False,0.9999984670420728
Noni Madueke,chelsea,FW,2033,2033,False,NON_ST,1.0,8.192962242223396e-41,1.0,False,1.0
Pedro Neto,chelsea,FW,2269,2269,False,NON_ST,1.0,4.291626146418e-185,1.0,False,1.0
Tyrique George,chelsea,FW,183,183,True,NON_ST,1.0,1.692886134885531e-23,1.0,False,1.0
Jean-Philippe Mateta,crystal palace,FW,2648,2648,False,ST,0.9999929442666305,0.9999929442666305,7.0557333694151735e-06,False,0.9999858885332611
Armando Broja,everton,FW,334,334,True,NON_ST,0.9979992054862526,0.0020007945137474857,0.9979992054862526,False,0.9959984109725052
Beto,everton,FW,1534,1534,False,ST,0.9999999970519301,0.9999999970519301,2.9480699736887137e-09,False,0.9999999941038601
Dominic Calvert-Lewin,everton,FW,1609,1609,False,ST,0.9999999898425135,0.9999999898425135,1.0157486590512388e-08,False,0.9999999796850269
Iliman Ndiaye,everton,FW,2430,2430,False,NON_ST,0.9999999968934219,3.1065780859551313e-09,0.9999999968934219,False,0.9999999937868438
Jack Harrison,everton,FW,2076,2076,False,NON_ST,1.0,2.239736799977207e-161,1.0,False,1.0
Jesper Lindstrøm,everton,FW,1239,1239,False,NON_ST,1.0,3.8068121040838445e-133,1.0,False,1.0
Raúl Jiménez,fulham,FW,2494,2494,False,ST,0.9998642758971568,0.9998642758971568,0.0001357241028432883,False,0.9997285517943135
Reiss Nelson,fulham,FW,487,487,True,NON_ST,1.0,7.560449026828192e-114,1.0,False,1.0
Rodrigo Muniz,fulham,FW,964,964,False,ST,0.9999999999579694,0.9999999999579694,4.2030652414062055e-11,False,0.9999999999159388
Ali Al Hamadi,ipswich town,FW,134,134,True,NON_ST,0.9999980379461696,1.9620538303422295e-06,0.9999980379461696,False,0.9999960758923393
Chiedozie Ogbene,ipswich town,FW,238,238,True,NON_ST,0.9999999996383233,3.616766843542392e-10,0.9999999996383233,False,0.9999999992766466
George Hirst,ipswich town,FW,661,661,True,ST,0.9999999729010175,0.9999999729010175,2.709898247318307e-08,False,0.999999945802035
Liam Delap,ipswich town,FW,2593,2593,False,ST,0.9999990075191724,0.9999990075191724,9.924808276922034e-07,False,0.9999980150383446
Abdul Fatawu Issahaku,leicester city,FW,579,579,True,NON_ST,1.0,2.157670884437221e-133,1.0,False,1.0
Bobby De Cordova-Reid,leicester city,FW,744,744,True,NON_ST,0.9999999997582516,2.417484174834628e-10,0.9999999997582516,False,0.9999999995165032
Jake Evans,leicester city,FW,24,24,True,ST,0.9998318589575744,0.9998318589575744,0.0001681410424254776,False,0.999663717915149
Jamie Vardy,leicester city,FW,2823,2823,False,ST,0.9999999976379416,0.9999999976379416,2.3620583484953158e-09,False,0.9999999952758832
Kasey McAteer,leicester city,FW,852,852,True,NON_ST,1.0,4.4005944800424174e-20,1.0,False,1.0
Odsonne Édouard,leicester city,FW,29,29,True,NON_ST,1.0,4.682286984666242e-50,1.0,False,1.0
Stephy Mavididi,leicester city,FW,1615,1615,False,NON_ST,1.0,9.156673991909187e-81,1.0,False,1.0
Will Alves,leicester city,FW,1,1,True,ST,0.999951246652763,0.999951246652763,4.875334723695231e-05,False,0.999902493305526
Cody Gakpo,liverpool,FW,1935,1935,False,NON_ST,1.0,9.956652624236577e-63,1.0,False,1.0
Darwin Núñez,liverpool,FW,1133,1133,False,ST,0.9999997630771855,0.9999997630771855,2.3692281460515072e-07,False,0.9999995261543709
Diogo Jota,liverpool,FW,1196,1196,False,ST,0.9999217646513542,0.9999217646513542,7.823534864583555e-05,False,0.9998435293027084
Federico Chiesa,liverpool,FW,108,108,True,NON_ST,0.9999999999999991,7.909651173593347e-16,0.9999999999999991,False,0.9999999999999983
Luis Díaz,liverpool,FW,2399,2399,False,NON_ST,0.9999999999999996,4.811429996824703e-16,0.9999999999999996,False,0.9999999999999991
Mohamed Salah,liverpool,FW,3371,3371,False,NON_ST,1.0,8.345386445965459e-38,1.0,False,1.0
Claudio Echeverri,manchester city,FW,6,6,True,ST,0.9921290074783692,0.9921290074783692,0.007870992521630853,False,0.9842580149567384
Divin Mubama,manchester city,FW,28,28,True,ST,0.9999826224231649,0.9999826224231649,1.737757683509707e-05,False,0.9999652448463299
Erling Haaland,manchester city,FW,2736,2736,False,ST,0.9999999998174518,0.9999999998174518,1.825482776721932e-10,False,0.9999999996349035
Oscar Bobb,manchester city,FW,16,16,True,NON_ST,1.0,2.1047826756593434e-79,1.0,False,1.0
Chidozie Obi-Martin,manchester utd,FW,165,165,True,ST,0.9999999839893948,0.9999999839893948,1.6010605097714237e-08,False,0.9999999679787898
Rasmus Højlund,manchester utd,FW,2004,2004,False,ST,0.9999997976367649,0.9999997976367649,2.0236323502073312e-07,False,0.9999995952735299
Alexander Isak,newcastle utd,FW,2756,2756,False,ST,0.991527000141184,0.991527000141184,0.008472999858815987,False,0.983054000282368
Callum Wilson,newcastle utd,FW,370,370,True,ST,0.999924270505977,0.999924270505977,7.572949402295273e-05,False,0.9998485410119541
Harvey Barnes,newcastle utd,FW,1755,1755,False,NON_ST,1.0,2.2554229564304873e-35,1.0,False,1.0
Jacob Murphy,newcastle utd,FW,2360,2360,False,NON_ST,1.0,7.892075964659006e-113,1.0,False,1.0
Miguel Almirón,newcastle utd,FW,157,157,True,NON_ST,0.9954769848439067,0.00452301515609326,0.9954769848439067,False,0.9909539696878135
William Osula,newcastle utd,FW,134,134,True,NON_ST,1.0,1.6384559348260688e-34,1.0,False,1.0
Chris Wood,nott'ham forest,FW,2959,2959,False,ST,0.999999999491473,0.999999999491473,5.085270229180057e-10,False,0.999999998982946
Taiwo Awoniyi,nott'ham forest,FW,416,416,True,ST,0.9999998745487856,0.9999998745487856,1.2545121435709573e-07,False,0.9999997490975713
Ben Brereton,southampton,FW,449,449,True,NON_ST,0.6727358350770086,0.32726416492299126,0.6727358350770086,False,0.34547167015401736
Cameron Archer,southampton,FW,1441,1441,False,ST,0.9999999800857272,0.9999999800857272,1.9914272783130293e-08,False,0.9999999601714544
Maxwel Cornet,southampton,FW,72,72,True,NON_ST,1.0,3.603187873954524e-62,1.0,False,1.0
Paul Onuachu,southampton,FW,1050,1050,False,ST,0.9999999660586798,0.9999999660586798,3.3941320249028026e-08,False,0.9999999321173596
Ross Stewart,southampton,FW,389,389,True,ST,0.9999990321821973,0.9999990321821973,9.6781780261543e-07,False,0.9999980643643948
Brennan Johnson,tottenham,FW,2177,2177,False,NON_ST,0.9999999999999993,5.855727614431074e-16,0.9999999999999993,False,0.9999999999999988
Dominic Solanke,tottenham,FW,2201,2201,False,ST,0.9999999970601654,0.9999999970601654,2.9398346434545008e-09,False,0.9999999941203308
Mathys Tel,tottenham,FW,911,911,False,NON_ST,1.0,2.0830306480868317e-62,1.0,False,1.0
Mikey Moore,tottenham,FW,366,366,True,NON_ST,1.0,1.0948542367548365e-78,1.0,False,1.0
Richarlison,tottenham,FW,504,504,True,ST,0.997409343177065,0.997409343177065,0.0025906568229351213,False,0.9948186863541298
Son Heung-min,tottenham,FW,2110,2110,False,NON_ST,1.0,4.1748509944458304e-68,1.0,False,1.0
Evan Ferguson,west ham,FW,156,156,True,NON_ST,0.9750250355450653,0.024974964454934773,0.9750250355450653,False,0.9500500710901305
Michail Antonio,west ham,FW,836,836,True,NON_ST,1.0,6.678630978836077e-31,1.0,False,1.0
Niclas Füllkrug,west ham,FW,790,790,True,ST,0.9999462616631529,0.9999462616631529,5.373833684710856e-05,False,0.9998925233263058
Jørgen Strand Larsen,wolves,FW,2587,2587,False,ST,0.9999999994059634,0.9999999994059634,5.940366784804007e-10,False,0.9999999988119267
