df_post,feature,omega2,weight
CB,FinalThird_Pass,0.5990878809338033,0.0831334787938064
CB,PrgP,0.4554852345084507,0.06320620611600099
CB,Carry_PrgDist,0.41299857762023184,0.05731047077925704
CB,PrgDist,0.407923053907731,0.05660615684410789
CB,Pass_Att,0.39468524105084135,0.0547691885637627
CB,Pass_Cmp,0.3894516770010412,0.054042943884481394
CB,Touches_Mid3rd,0.3830617586587301,0.053156235677036666
CB,Pass_Med_Att,0.3317709744134071,0.046038780191657865
CB,Pass_Med_Cmp,0.32023550669884326,0.04443804081577439
CB,Touches,0.31818790709339256,0.04415390207120053
CB,Touches_Live,0.31818790709339256,0.04415390207120053
CB,PrgC,0.28247047573746903,0.03919751016828203
CB,Pass_Short_Cmp,0.2824162672005657,0.03918998782574011
CB,Pass_Short_Att,0.27897330847839613,0.03871221963007691
CB,PPA,0.2582037343620618,0.03583009331053706
CB,Pass_Long_Att,0.23747329357296648,0.03295339739567354
CB,Pass_Long_Cmp,0.19177339545254024,0.026611771012993696
CB,Carry_FinalThird,0.17981169229339047,0.024951884329308862
CB,Touches_Def3rd,0.1191172241330787,0.01652951017972367
CB,xA,0.10843188477028046,0.015046740353137964
CB,SCA90,0.10632302776279126,0.014754101117909228
CB,Touches_Att3rd,0.09805002640518495,0.013606083598590238
CB,Pass_TB,0.0910531100625053,0.01263514425077781
CB,Pass_Switch,0.08966986760434122,0.012443196189028947
CB,Pass_Cmp%,0.0778397246712864,0.010801565690478632
CB,Pass_Cross,0.0678564802426292,0.00941622329678921
CB,Crs,0.0678564802426292,0.00941622329678921
CB,Pass_Short_Cmp%,0.050067237443087595,0.006947667870950148
CB,GCA90,0.049923251546795375,0.0069276874159335
CB,Aerials_Won,0.03859049635293359,0.005355077797932548
CB,Pass_Med_Cmp%,0.03733807877525192,0.005181283879796698
CB,Clearances,0.029471821328099043,0.004089708891415713
CB,Pass_Long_Cmp%,0.025806966572994916,0.0035811489042049307
CB,Tackles_Interceptions,0.024807867761354786,0.0034425072081970967
CB,Aerials_Won%,0.023591830817780945,0.003273761712455293
CB,Dribblers_Challenged,0.01468312129614501,0.0020375290366370074
CB,Recoveries,0.012283315389805108,0.0017045157680110577
CB,TakeOn_Succ,0.00854289338858255,0.0011854695595752678
CB,Dribblers_Tackled,0.007066812341317122,0.0009806385884504505
CB,Interceptions,0.006833903244812937,0.0009483185498528832
CB,CrdR,0.005942453376097392,0.0008246149479020469
CB,TakeOn_Att,0.002991440035921558,0.00041511241456194205
CB,Blocks_Total,0.0,0.0
CB,Aerials_Lost,0.0,0.0
CB,Dribblers_Tackled_%,0.0,0.0
CB,Touches_DefPen,0.0,0.0
CB,Touches_AttPen,0.0,0.0
CB,Tackles_Won,0.0,0.0
CB,KP,0.0,0.0
CB,CrsPA,0.0,0.0
CB,TakeOn_Succ%,0.0,0.0
CB,Fld,0.0,0.0
CB,Fls,0.0,0.0
CB,CrdY,0.0,0.0
CB,Errors_LeadingShot,0.0,0.0
CB,Shots_Blocked,0.0,0.0
CB,Passes_Blocked,0.0,0.0
FB_WB,Crs,0.3825709195995818,0.062196537611582524
FB_WB,Pass_Cross,0.3825709195995818,0.062196537611582524
FB_WB,Pass_Att,0.3275641407141128,0.05325380041811546
FB_WB,Pass_Cmp,0.32547965409068913,0.05291491462195953
FB_WB,Touches_Att3rd,0.3111450252651737,0.050584459704404894
FB_WB,Touches_Live,0.29471037646336706,0.04791259365299519
FB_WB,Touches,0.29471037646336706,0.04791259365299519
FB_WB,Pass_Med_Att,0.26556692519842423,0.043174591703896384
FB_WB,Pass_Cmp%,0.2377548515819007,0.03865303872083976
FB_WB,Pass_Med_Cmp,0.23086127618097857,0.03753231443225428
FB_WB,Pass_Short_Cmp,0.221830578081437,0.03606414702790774
FB_WB,Pass_Short_Att,0.2127272848697903,0.03458417745985993
FB_WB,Touches_Mid3rd,0.20468310114298993,0.03327639281108924
FB_WB,SCA90,0.17872718008272084,0.029056604171226144
FB_WB,PPA,0.161830894056147,0.026309687363101335
FB_WB,Pass_Long_Cmp,0.15962658035341692,0.02595132065749006
FB_WB,Pass_Long_Att,0.1552048267585573,0.025232453253611883
FB_WB,KP,0.15349763604997246,0.024954906410198444
FB_WB,PrgDist,0.15017952620668287,0.02441546409220019
FB_WB,xA,0.1229641860341751,0.019990925158548205
FB_WB,FinalThird_Pass,0.12262437223945774,0.019935679868377708
FB_WB,PrgP,0.11523203729044187,0.018733869654535242
FB_WB,CrsPA,0.1138614018489263,0.018511038345560643
FB_WB,Pass_Long_Cmp%,0.11251829288374028,0.018292682158537646
FB_WB,Carry_PrgDist,0.11132276164703357,0.018098318447862832
FB_WB,Pass_Switch,0.11117736519850771,0.018074680593504238
FB_WB,Pass_Med_Cmp%,0.10248499722167898,0.01666151727107921
FB_WB,Dribblers_Challenged,0.06576953450559557,0.010692494167761152
FB_WB,TakeOn_Succ%,0.0628305890187907,0.010214694564749587
FB_WB,Blocks_Total,0.060091009698631986,0.009769306952945464
FB_WB,Pass_TB,0.049175071042654436,0.00799464621842638
FB_WB,Touches_Def3rd,0.04837573931182917,0.007864694715284322
FB_WB,Carry_FinalThird,0.0464773755001066,0.0075560678694700885
FB_WB,PrgC,0.044579111779316186,0.007247457295957556
FB_WB,Pass_Short_Cmp%,0.04050157277706013,0.00658455064277557
FB_WB,Carry_PenArea,0.03683579848581532,0.0059885867132128765
FB_WB,Clearances,0.03682843259231752,0.005987389201722829
FB_WB,Tackles_Interceptions,0.02487889079821626,0.004044690246935862
FB_WB,Dribblers_Tackled,0.017092390489727945,0.0027787985272871786
FB_WB,Touches_AttPen,0.014545185218399401,0.00236468616185066
FB_WB,Interceptions,0.013831264366587137,0.0022486203480718463
FB_WB,Aerials_Lost,0.01373567785649505,0.0022330803536145445
FB_WB,CrdR,0.0061076087522628384,0.0009929456161344927
FB_WB,Recoveries,0.003995318745346363,0.0006495396797939668
FB_WB,Dribblers_Tackled_%,0.0017959530744005071,0.00029197740135999224
FB_WB,Aerials_Won%,0.00012625818305018603,2.0526447329217104e-05
FB_WB,Touches_DefPen,0.0,0.0
FB_WB,Aerials_Won,0.0,0.0
FB_WB,Tackles_Won,0.0,0.0
FB_WB,GCA90,0.0,0.0
FB_WB,TakeOn_Att,0.0,0.0
FB_WB,Fls,0.0,0.0
FB_WB,TakeOn_Succ,0.0,0.0
FB_WB,CrdY,0.0,0.0
FB_WB,Fld,0.0,0.0
